,company,name,year,Price,kms_driven,fuel_type
0,Hyundai,Hyundai Santro,2007,80000,45000,Petrol
1,Mahindra,Mahindra Jeep,2006,425000,40,Diesel
2,Hyundai,Hyundai Grand i10,2014,325000,28000,Petrol
3,Ford,Ford EcoSport,2014,575000,36000,Diesel
4,Ford,Ford Figo,2012,175000,41000,Diesel
5,Hyundai,Hyundai Eon,2013,190000,25000,Petrol
6,Ford,Ford EcoSport,2016,830000,24530,Diesel
7,Maruti,Maruti Suzuki Alto,2015,250000,60000,Petrol
8,Skoda,Skoda Fabia,2010,182000,60000,Petrol
9,Maruti,Maruti Suzuki Stingray,2015,315000,30000,Petrol
10,Hyundai,Hyundai i20,2014,415000,32000,Petrol
11,Mahindra,Mahindra Scorpio,2015,320000,48660,Diesel
12,Hyundai,Hyundai Santro,2007,80000,45000,Petrol
13,Mahindra,Mahindra Jeep,2006,425000,40,Diesel
14,Audi,Audi A8,2017,7000000,4000,Petrol
15,Audi,Audi Q7,2014,3500000,16934,Diesel
16,Mahindra,Mahindra Scorpio,2016,350000,43000,Diesel
17,Maruti,Maruti Suzuki Alto,2014,160000,35550,Petrol
18,Mahindra,Mahindra Scorpio,2016,350000,43000,Diesel
19,Mahindra,Mahindra Scorpio,2016,310000,39522,Diesel
20,Maruti,Maruti Suzuki Alto,2015,75000,39000,Petrol
21,Hyundai,Hyundai i20,2012,100000,55000,Petrol
22,Hyundai,Hyundai i20,2012,100000,55000,Petrol
23,Hyundai,Hyundai i20,2012,100000,55000,Petrol
24,Maruti,Maruti Suzuki Alto,2017,190000,72000,Petrol
25,Maruti,Maruti Suzuki Vitara,2016,290000,15975,Diesel
26,Maruti,Maruti Suzuki Alto,2008,95000,70000,Petrol
27,Mahindra,Mahindra Bolero,2017,180000,23452,Diesel
28,Maruti,Maruti Suzuki Swift,2014,385000,35522,Diesel
29,Mahindra,Mahindra Scorpio,2015,250000,48508,Diesel
30,Maruti,Maruti Suzuki Swift,2017,180000,15487,Petrol
31,Maruti,Maruti Suzuki WagonR,2013,105000,39000,Petrol
32,Maruti,Maruti Suzuki WagonR,2013,105000,39000,Petrol
33,Toyota,Toyota Innova,2012,650000,82000,Diesel
34,Renault,Renault Lodgy,2018,689999,20000,Diesel
35,Skoda,Skoda Yeti,2012,448000,68000,Diesel
36,Maruti,Maruti Suzuki Baleno,2017,549000,32000,Diesel
37,Renault,Renault Duster,2012,501000,38000,Diesel
38,Renault,Renault Duster,2013,489999,27000,Diesel
39,Honda,Honda City,2011,280000,33000,Petrol
40,Maruti,Maruti Suzuki Alto,2015,250000,60000,Petrol
41,Maruti,Maruti Suzuki Dzire,2013,349999,46000,Diesel
42,Honda,Honda Amaze,2013,284999,46000,Diesel
43,Honda,Honda Amaze,2015,345000,36000,Diesel
44,Honda,Honda City,2015,499999,55000,Petrol
45,Datsun,Datsun Redi GO,2017,235000,16000,Petrol
46,Maruti,Maruti Suzuki SX4,2010,249999,36000,Petrol
47,Mitsubishi,Mitsubishi Pajero,2015,1475000,47000,Diesel
48,Mahindra,Mahindra Bolero,2017,180000,23452,Diesel
49,Maruti,Maruti Suzuki Swift,2014,385000,35522,Diesel
50,Mahindra,Mahindra Scorpio,2015,250000,48508,Diesel
51,Maruti,Maruti Suzuki Swift,2017,180000,15487,Petrol
52,Maruti,Maruti Suzuki WagonR,2013,105000,39000,Petrol
53,Maruti,Maruti Suzuki WagonR,2013,105000,39000,Petrol
54,Mahindra,Mahindra Scorpio,2015,395000,35000,Diesel
55,Maruti,Maruti Suzuki Swift,2017,220000,30874,Petrol
56,Honda,Honda City,2017,170000,15000,Diesel
57,Maruti,Maruti Suzuki WagonR,2013,85000,29685,Petrol
58,Ford,Ford Figo,2012,175000,41000,Diesel
59,Hyundai,Hyundai Eon,2013,190000,25000,Petrol
60,Tata,Tata Indigo,2017,200000,130000,Diesel
61,Ford,Ford EcoSport,2016,830000,24530,Diesel
62,Tata,Tata Indigo,2017,200000,130000,Diesel
63,Mahindra,Mahindra Scorpio,2012,570000,19000,Diesel
64,Volkswagen,Volkswagen Polo,2014,315000,60000,Petrol
65,Skoda,Skoda Fabia,2010,182000,60000,Petrol
66,Maruti,Maruti Suzuki Stingray,2015,315000,30000,Petrol
67,Chevrolet,Chevrolet Spark,2010,110000,41000,Petrol
68,Renault,Renault Duster,2012,501000,35000,Diesel
69,Honda,Honda City,2015,448999,54000,Petrol
70,Mini,Mini Cooper S,2013,1891111,13000,Petrol
71,Datsun,Datsun Redi GO,2017,235000,16000,Petrol
72,Skoda,Skoda Fabia,2011,159500,38200,Diesel
73,Honda,Honda Amaze,2015,344999,22000,Petrol
74,Honda,Honda Amaze,2015,344999,22000,Petrol
75,Renault,Renault Duster,2014,449999,50000,Diesel
76,Mini,Mini Cooper S,2013,1891111,13500,Petrol
77,Mahindra,Mahindra Scorpio,2015,865000,30000,Diesel
78,Mahindra,Mahindra Scorpio,2014,699000,50000,Diesel
79,Mahindra,Mahindra Quanto,2013,375000,20000,Diesel
80,Ford,Ford EcoSport,2017,489999,39000,Petrol
81,Honda,Honda Brio,2012,224999,30000,Petrol
82,Volkswagen,Volkswagen Vento,2019,1200000,3600,Diesel
83,Hyundai,Hyundai i20,2009,195000,32000,Petrol
84,Toyota,Toyota Corolla,2010,351000,38000,Diesel
85,Hyundai,Hyundai Verna,2008,160000,45000,Petrol
86,Toyota,Toyota Corolla,2009,240000,35000,Petrol
87,Honda,Honda City,2005,90000,50000,Petrol
88,Hyundai,Hyundai i20,2014,415000,32000,Petrol
89,Skoda,Skoda Fabia,2011,155000,45863,Diesel
90,BMW,BMW 3 Series,2011,1200000,60500,Petrol
91,Maruti,Maruti Suzuki AStar,2011,189500,12500,Petrol
92,Toyota,Toyota Etios,2013,350000,60000,Diesel
93,Ford,Ford Figo,2012,210000,35000,Diesel
94,Maruti,Maruti Suzuki Swift,2014,390000,35000,Petrol
95,Chevrolet,Chevrolet Beat,2012,135000,45000,Diesel
96,BMW,BMW 7 Series,2009,3000000,35000,Petrol
97,Mahindra,Mahindra XUV500,2013,701000,38000,Diesel
98,Hyundai,Hyundai i10,2014,265000,18000,Petrol
99,Hyundai,Hyundai Verna,2015,525000,35000,Diesel
100,Maruti,Maruti Suzuki Swift,2013,372000,13349,Petrol
101,Maruti,Maruti Suzuki Ertiga,2016,635000,29000,Petrol
102,Ford,Ford EcoSport,2014,550000,44000,Diesel
103,Maruti,Maruti Suzuki Ertiga,2016,575000,29000,Petrol
104,Maruti,Maruti Suzuki Ertiga,2013,485000,42000,Diesel
105,Maruti,Maruti Suzuki Alto,2012,155000,14000,Petrol
106,Hyundai,Hyundai Grand i10,2014,345000,49000,Diesel
107,Honda,Honda Amaze,2014,325000,42000,Petrol
108,Hyundai,Hyundai i20,2012,329500,36200,Diesel
109,Ford,Ford Figo,2014,195000,50000,Diesel
110,Maruti,Maruti Suzuki Eeco,2015,251111,55000,Petrol
111,Maruti,Maruti Suzuki Ertiga,2014,569999,45000,Petrol
112,Maruti,Maruti Suzuki Esteem,2007,69999,51000,Petrol
113,Maruti,Maruti Suzuki Ritz,2014,299999,19000,Petrol
114,Maruti,Maruti Suzuki Dzire,2009,220000,46000,Petrol
115,Maruti,Maruti Suzuki Ritz,2013,399999,33000,Diesel
116,Maruti,Maruti Suzuki Swift,2013,372000,13349,Petrol
117,Maruti,Maruti Suzuki Dzire,2015,450000,104000,Diesel
118,Toyota,Toyota Etios,2014,270000,55000,Petrol
119,Hyundai,Hyundai i20,2011,350000,33333,Diesel
120,Chevrolet,Chevrolet Spark,2012,158400,33600,Petrol
121,Maruti,Maruti Suzuki Alto,2017,350000,5600,Petrol
122,Nissan,Nissan Micra,2011,179000,41000,Petrol
123,Maruti,Maruti Suzuki Swift,2007,125000,70000,Petrol
124,Maruti,Maruti Suzuki Alto,2018,200000,7500,Petrol
125,Honda,Honda Amaze,2013,299000,45000,Diesel
126,Maruti,Maruti Suzuki Alto,2015,220000,38000,Petrol
127,Chevrolet,Chevrolet Beat,2015,150000,30000,Petrol
128,Honda,Honda City,2010,285000,35000,Petrol
129,Ford,Ford EcoSport,2016,830000,24330,Diesel
130,Hyundai,Hyundai i20,2009,210000,65480,Petrol
131,Maruti,Maruti Suzuki Swift,2013,340000,41000,Petrol
132,Tata,Tata Indica,2006,90000,20000,Petrol
133,Hindustan,Hindustan Motors Ambassador,2000,70000,200000,Diesel
134,Toyota,Toyota Corolla,2010,289999,70000,Petrol
135,Toyota,Toyota Corolla,2012,349999,59000,Petrol
136,Toyota,Toyota Innova,2012,849999,99000,Diesel
137,Volkswagen,Volkswagen Jetta,2014,749999,46000,Diesel
138,Volkswagen,Volkswagen Polo,2015,399999,2800,Petrol
139,Volkswagen,Volkswagen Polo,2014,274999,32000,Petrol
140,Mahindra,Mahindra Scorpio,2015,984999,22000,Diesel
141,Renault,Renault Duster,2014,449999,50000,Diesel
142,Honda,Honda Amaze,2015,344999,22000,Petrol
143,Nissan,Nissan Sunny,2012,224999,45000,Petrol
144,Hyundai,Hyundai i20,2018,599999,21000,Petrol
145,Renault,Renault Kwid,2016,244999,11000,Petrol
146,Renault,Renault Duster,2013,399999,41000,Diesel
147,Ford,Ford EcoSport,2017,489999,39000,Petrol
148,Renault,Renault Duster,2014,474999,50000,Diesel
149,Mahindra,Mahindra Scorpio,2011,499999,66000,Diesel
150,Maruti,Maruti Suzuki Alto,2018,310000,3000,Petrol
151,Chevrolet,Chevrolet Spark,2010,85000,45000,Petrol
152,Datsun,Datsun Redi GO,2016,245000,7000,Petrol
153,Maruti,Maruti Suzuki Swift,2010,189500,38500,Diesel
154,Fiat,Fiat Punto,2012,169500,37200,Diesel
155,Maruti,Maruti Suzuki Swift,2010,159500,43200,Diesel
