company,name,year,Price,kms_driven,fuel_type
Hyundai,Hyundai Santro,2007,"80,000","45,000 kms",Petrol
Mahindra,Mahindra Jeep,2006,"4,25,000",40 kms,Diesel
Maruti,Maruti Suzuki Alto 800 ,2018,Ask For Price,"22,000 kms",Petrol
Hyundai,Hyundai Grand i10 Magna 1.2 Kappa VTVT,2014,"3,25,000","28,000 kms",Petrol
Ford,Ford EcoSport,2014,"5,75,000","36,000 kms",Diesel
Ford,Ford EcoSport,2015,Ask For Price,"59,000 kms",Diesel
Ford,Ford Figo,2012,"1,75,000","41,000 kms",Diesel
Hyundai,Hyundai Eon,2013,"1,90,000","25,000 kms",Petrol
Ford,Ford EcoSport,2016,"8,30,000","24,530 kms",Diesel
Maruti,Maruti Suzuki Alto K10 VXi AMT,2015,"2,50,000","60,000 kms",Petrol
Skoda,Skoda Fabia,2010,"1,82,000","60,000 kms",Petrol
Maruti,Maruti Suzuki Stingray VXi,2015,"3,15,000","30,000 kms",Petrol
Hyundai,Hyundai i20 ,2014,"4,15,000","32,000 kms",Petrol
Mahindra,Mahindra Scorpio,2015,"3,20,000","48,660 kms",Diesel
Hyundai,Hyundai Santro,2007,"80,000","45,000 kms",Petrol
Mahindra,Mahindra Jeep,2006,"4,25,000",40 kms,Diesel
Audi,Audi A8,2017,"70,00,000","4,000 kms",Petrol
Audi,Audi Q7,2014,"35,00,000","16,934 kms",Diesel
Mahindra,Mahindra Scorpio,2016,"3,50,000","43,000 kms",Diesel
Maruti,Maruti Suzuki Alto 800,2014,"1,60,000","35,550 kms",Petrol
Mahindra,Mahindra Scorpio,2016,"3,50,000","43,000 kms",Diesel
Mahindra,Mahindra Scorpio,2016,"3,10,000","39,522 kms",Diesel
Maruti,Maruti Suzuki Alto 800 Vxi,2015,"75,000","39,000 kms",Petrol
Hyundai,Hyundai i20,2012,"1,00,000","55,000 kms",Petrol
Hyundai,Hyundai i20,2012,"1,00,000","55,000 kms",Petrol
Hyundai,Hyundai i20,2012,"1,00,000","55,000 kms",Petrol
Maruti,Maruti Suzuki Alto 800 Lx,2017,"1,90,000","72,000 kms",Petrol
Maruti,Maruti Suzuki Vitara Brezza ZDi,2016,"2,90,000","15,975 kms",Diesel
Maruti,Maruti Suzuki Alto LX,2008,"95,000","70,000 kms",Petrol
Mahindra,Mahindra Bolero,2017,"1,80,000","23,452 kms",Diesel
Maruti,Maruti Suzuki Swift Dzire ZDi,2014,"3,85,000","35,522 kms",Diesel
Mahindra,Mahindra Scorpio,2015,"2,50,000","48,508 kms",Diesel
Maruti,Maruti Suzuki Swift Vdi BSIII,2017,"1,80,000","15,487 kms",Petrol
Maruti,Maruti Suzuki WagonR VXi BS III,2013,"1,05,000","39,000 kms",Petrol
Maruti,Maruti Suzuki WagonR VXi Minor,2013,"1,05,000","39,000 kms",Petrol
Toyota,Toyota Innova,2012,"6,50,000","82,000 kms",Diesel
Renault,Renault Lodgy,2018,"6,89,999","20,000 kms",Diesel
Skoda,Skoda Yeti,2012,"4,48,000","68,000 kms",Diesel
Maruti,Maruti Suzuki Baleno Delta 1.2,2017,"5,49,000","32,000 kms",Diesel
Renault,Renault Duster,2012,"5,01,000","38,000 kms",Diesel
Renault,Renault Duster,2013,"4,89,999","27,000 kms",Diesel
Honda,Honda City,2011,"2,80,000","33,000 kms",Petrol
Maruti,Maruti Suzuki Alto K10 VXi AMT,2015,"2,50,000","60,000 kms",Petrol
Maruti,Maruti Suzuki Dzire,2013,"3,49,999","46,000 kms",Diesel
Honda,Honda Amaze,2013,"2,84,999","46,000 kms",Diesel
Honda,Honda Amaze,2015,"3,45,000","36,000 kms",Diesel
Honda,Honda City,2015,"4,99,999","55,000 kms",Petrol
Datsun,Datsun Redi GO S,2017,"2,35,000","16,000 kms",Petrol
Maruti,Maruti Suzuki SX4 ZXI MT,2010,"2,49,999","36,000 kms",Petrol
Mitsubishi,Mitsubishi Pajero ,2015,"14,75,000","47,000 kms",Diesel
Mahindra,Mahindra Bolero,2017,"1,80,000","23,452 kms",Diesel
Maruti,Maruti Suzuki Swift Dzire ZDi,2014,"3,85,000","35,522 kms",Diesel
Mahindra,Mahindra Scorpio,2015,"2,50,000","48,508 kms",Diesel
Maruti,Maruti Suzuki Swift Vdi BSIII,2017,"1,80,000","15,487 kms",Petrol
Maruti,Maruti Suzuki WagonR VXi BS III,2013,"1,05,000","39,000 kms",Petrol
Maruti,Maruti Suzuki WagonR VXi Minor,2013,"1,05,000","39,000 kms",Petrol
Mahindra,Mahindra Scorpio,2015,"3,95,000","35,000 kms",Diesel
Maruti,Maruti Suzuki Swift VXi 1.2 ABS BS IV,2017,"2,20,000","30,874 kms",Petrol
Honda,Honda City,2017,"1,70,000","15,000 kms",Diesel
Maruti,Maruti Suzuki WagonR LX BS IV,2013,"85,000","29,685 kms",Petrol
Ford,Ford Figo,2012,"1,75,000","41,000 kms",Diesel
Hyundai,Hyundai Eon,2013,"1,90,000","25,000 kms",Petrol
Tata,Tata Indigo,2017,"2,00,000","1,30,000 kms",Diesel
Ford,Ford EcoSport,2016,"8,30,000","24,530 kms",Diesel
Tata,Tata Indigo,2017,"2,00,000","1,30,000 kms",Diesel
Mahindra,Mahindra Scorpio,2012,"5,70,000","19,000 kms",Diesel
Volkswagen,Volkswagen Polo,2014,"3,15,000","60,000 kms",Petrol
Skoda,Skoda Fabia,2010,"1,82,000","60,000 kms",Petrol
Maruti,Maruti Suzuki Stingray VXi,2015,"3,15,000","30,000 kms",Petrol
I,I want to sell my car Tata Zest,2017,Ask For Price,,
Chevrolet,Chevrolet Spark,2010,"1,10,000","41,000 kms",Petrol
Renault,Renault Duster,2012,"5,01,000","35,000 kms",Diesel
Honda,Honda City,2015,"4,48,999","54,000 kms",Petrol
Mini,Mini Cooper S 1.6,2013,"18,91,111","13,000 kms",Petrol
Datsun,Datsun Redi GO S,2017,"2,35,000","16,000 kms",Petrol
Skoda,Skoda Fabia,2011,"1,59,500","38,200 kms",Diesel
Honda,Honda Amaze,2015,"3,44,999","22,000 kms",Petrol
Honda,Honda Amaze,2015,"3,44,999","22,000 kms",Petrol
Renault,Renault Duster,2014,"4,49,999","50,000 kms",Diesel
Mini,Mini Cooper S 1.6,2013,"18,91,111","13,500 kms",Petrol
Mahindra,Mahindra Scorpio,2015,"8,65,000","30,000 kms",Diesel
Mahindra,Mahindra Scorpio,2014,"6,99,000","50,000 kms",Diesel
Mahindra,Mahindra Quanto,2013,"3,75,000","20,000 kms",Diesel
Ford,Ford EcoSport,2017,"4,89,999","39,000 kms",Petrol
Honda,Honda Brio,2012,"2,24,999","30,000 kms",Petrol
I,I want to sell my car Tata Zest,2017,Ask For Price,,
Volkswagen,Volkswagen Vento,2019,"12,00,000","3,600 kms",Diesel
Hyundai,Hyundai i20,2009,"1,95,000","32,000 kms",Petrol
Toyota,Toyota Corolla,2010,"3,51,000","38,000 kms",Diesel
Hyundai,Hyundai Verna,2008,"1,60,000","45,000 kms",Petrol
Toyota,Toyota Corolla,2009,"2,40,000","35,000 kms",Petrol
Honda,Honda City,2005,"90,000","50,000 kms",Petrol
Hyundai,Hyundai i20,2014,"4,15,000","32,000 kms",Petrol
Skoda,Skoda Fabia,2011,"1,55,000","45,863 kms",Diesel
BMW,BMW 3 Series 320i,2011,"12,00,000","60,500 kms",Petrol
Maruti,Maruti Suzuki AStar Lxi,2011,"1,89,500","12,500 kms",Petrol
Toyota,Toyota Etios,2013,"3,50,000","60,000 kms",Diesel
Ford,Ford Figo,2012,"2,10,000","35,000 kms",Diesel
Maruti,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2014,"3,90,000","35,000 kms",Petrol
Chevrolet,Chevrolet Beat,2012,"1,35,000","45,000 kms",Diesel
BMW,BMW 7 Series 740Li Sedan,2009,"30,00,000","35,000 kms",Petrol
Mahindra,Mahindra XUV500,2013,"7,01,000","38,000 kms",Diesel
Hyundai,Hyundai i10,2014,"2,65,000","18,000 kms",Petrol
Hyundai,Hyundai Verna,2015,"5,25,000","35,000 kms",Diesel
Maruti,Maruti Suzuki Swift VXi 1.2 BS IV,2013,"3,72,000","13,349 kms",Petrol
Maruti,Maruti Suzuki Ertiga ZXI Plus,2016,"6,35,000","29,000 kms",Petrol
Ford,Ford EcoSport,2014,"5,50,000","44,000 kms",Diesel
Maruti,Maruti Suzuki Ertiga Vxi,2016,"5,75,000","29,000 kms",Petrol
Maruti,Maruti Suzuki Ertiga VDi,2013,"4,85,000","42,000 kms",Diesel
Maruti,Maruti Suzuki Alto LXi BS III,2012,"1,55,000","14,000 kms",Petrol
Hyundai,Hyundai Grand i10 Asta 1.1 CRDi,2014,"3,45,000","49,000 kms",Diesel
Honda,Honda Amaze,2014,"3,25,000","42,000 kms",Petrol
Hyundai,Hyundai i20,2012,"3,29,500","36,200 kms",Diesel
Ford,Ford Figo,2014,"1,95,000","50,000 kms",Diesel
Maruti,Maruti Suzuki Eeco 5 STR WITH AC HTR,2015,"2,51,111","55,000 kms",Petrol
Maruti,Maruti Suzuki Ertiga ZXi,2014,"5,69,999","45,000 kms",Petrol
Maruti,Maruti Suzuki Esteem LXi BS III,2007,"69,999","51,000 kms",Petrol
Maruti,Maruti Suzuki Ritz VXI,2014,"2,99,999","19,000 kms",Petrol
Maruti,Maruti Suzuki Dzire,2009,"2,20,000","46,000 kms",Petrol
Maruti,Maruti Suzuki Ritz LDi,2013,"3,99,999","33,000 kms",Diesel
Maruti,Maruti Suzuki Swift VXi 1.2 BS IV,2013,"3,72,000","13,349 kms",Petrol
Maruti,Maruti Suzuki Dzire VDI,2015,"4,50,000","1,04,000 kms",Diesel
Toyota,Toyota Etios,2014,"2,70,000","55,000 kms",Petrol
Hyundai,Hyundai i20,2011,"3,50,000","33,333 kms",Diesel
Chevrolet,Chevrolet Spark,2012,"1,58,400","33,600 kms",Petrol
Maruti,Maruti Suzuki Alto K10 VXi AMT,2017,"3,50,000","5,600 kms",Petrol
Nissan,Nissan Micra,2011,"1,79,000","41,000 kms",Petrol
Maruti,Maruti Suzuki Swift,2007,"1,25,000","70,000 kms",Petrol
Maruti,Maruti Suzuki Alto 800,2018,"2,00,000","7,500 kms",Petrol
Honda,Honda Amaze,2013,"2,99,000","45,000 kms",Diesel
Maruti,Maruti Suzuki Alto 800 Vxi,2015,"2,20,000","38,000 kms",Petrol
Chevrolet,Chevrolet Beat,2015,"1,50,000","30,000 kms",Petrol
Toyota,Toyota Corolla,2009,"2,75,000","26,000 kms",
Honda,Honda City,2010,"2,85,000","35,000 kms",Petrol
Ford,Ford EcoSport,2016,"8,30,000","24,330 kms",Diesel
Hyundai,Hyundai i20,2009,"2,10,000","65,480 kms",Petrol
Maruti,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,2013,"3,40,000","41,000 kms",Petrol
Tata,Tata Indica,2006,"90,000","20,000 kms",Petrol
Maruti,Maruti Suzuki Alto 800 Lxi,2018,Ask For Price,"28,028 kms",Petrol
Hindustan,Hindustan Motors Ambassador,2000,"70,000","2,00,000 kms",Diesel
Toyota,Toyota Corolla,2010,"2,89,999","70,000 kms",Petrol
